RA,JC,AA,PA,PPS,SPS,Label
0,0,0,665,0,0,1
0,0,0,6,0,0,1
0.083930095,0.110465116,3.288578206,7638,0.364405444,0.242830932,1
0,0,0,66,0,0,1
0.022513867,0.024390244,0.86620908,2000,0.271163072,0.113812863,1
0.057914159,0.058823529,0.907745525,335,0.344265186,0.220192753,1
0,0,0,208,0,0,1
0.079179841,0.12371134,5.492114921,17420,0.553182546,0.116682874,1
0.088113276,0.054545455,0.824831884,720,0.126773138,0.179284291,1
0,0,0,21,0,0,1
0.105089275,0.096692112,5.760863041,29670,0.348837209,0.200312148,1
0.023688109,0.009756098,0.745482545,34200,0.046448868,0.028576613,1
0.002793296,0.001915709,0.170052613,1042,0.031219527,0.23570226,1
0,0,0,188,0,0,1
0.107409141,0.233766234,3.322626805,1704,0.448879201,0,1
0.017632431,0.023622047,0.859795744,16000,0.054772256,0.040422604,1
0.352499153,0.048448145,19.71473449,1212625,0.209376154,0.140246967,1
2.748986036,0.095575221,17.23106144,70668,0.200445931,0.051725368,1
0.09795039,0.043333333,4.238211143,97968,0.090687293,0.057920347,1
0.008354316,0.014797508,2.368240507,87472,0.137739033,0.052222664,1
0.025022123,0.016928658,1.957155265,28980,0.142294263,0.065855277,1
0.036053614,0.020689655,0.530469801,1995,0.058848989,0.05383819,1
0.438776106,0.124281609,26.72293446,607476,0.23701753,0.146104579,1
0.038626057,0.051724138,1.842886143,5668,0.268194094,0.091884584,1
9.45E-06,0.000310463,0.086430386,9657,0.045083482,0.010187124,1
0.028722567,0.021078233,6.457356527,1200078,0.082628541,0.039558266,1
0.000396923,0.005376344,1.057429438,121756,0.189909383,0.028665771,1
0,0,0,35,0,0,1
0.134021066,0.046236559,6.378435925,138400,0.224221263,0.058915422,1
0.026864963,0.024813896,1.557119518,27636,0.060245337,0,1
4.83E-05,0.013888889,0.432540628,7546,0.086589012,0.046803638,1
0,0,0,20,0,0,1
0.002920501,0.030907278,3.042512486,190005,0.113324488,0.072404417,1
