RA,JC,AA,PA,PPS,SPS,Label
0.011652017,0.028571429,0.453944715,1760,0.136930639,0.073632104,1
0,0,0,78,0,0,1
2.022424588,0.126684636,22.0503076,129355,0.351184558,0.23484924,1
0.001422475,0.005747126,0.152546996,5400,0.042257713,0.013762047,1
0,0,0,384,0,0,1
2.974227312,0.119354839,13.21145392,30072,0.337963185,0.107764268,1
0.006283899,0.011384062,1.896018006,569452,0.102542779,0.021290003,1
0.047774007,0.015463918,6.390783869,840252,0.046787826,0.022585546,1
0.003367003,0.013513514,0.175631725,146,0.110431526,0.092847669,1
0.062023366,0.084848485,4.305840321,28792,0.160521938,0.132151289,1
0.001121076,0.011111111,0.147200263,430,0.119522861,0.05,1
0,0,0,5076,0,0,1
0.004991882,0.00259909,1.445845202,110520,0.099232078,0.036337619,1
0.008444555,0.026634383,1.464101252,38860,0.066648896,0.052283696,1
0.001299137,0.008264463,0.474416751,33615,0.061480283,0.021925462,1
0.002785515,0.004166667,0.169971988,7380,0.025125945,0.012562973,1
0.028571429,0.066666667,0.281266414,28,0.40824829,0.188982237,1
0.001242236,0.004291845,0.149458014,13520,0,0.008841598,1
1.31E-06,0.005988024,0.073830359,656,0.091287093,0.040422604,1
1.31E-06,0.00591716,0.073830359,7029,0.039559389,0.012049942,1
0.000907471,0.018109791,3.00274999,238320,0.248581366,0.063520323,1
0.768627356,0.08117026,52.37525999,5700000,0.275917313,0.112854214,1
0.001977608,0.004081633,1.867930175,756500,0.103215067,0.020695124,1
0.0094858,0.017094017,0.3704342,570,0.147042924,0.089893315,1
0.016400906,0.008035714,2.464572725,123312,0.098622735,0.040160966,1
0,0,0,147,0,0,1
0.036712563,0.03649635,0.992501148,5037,0.09258201,0.051075392,1
0,0,0,77,0,0,1
0.528945782,0.456521739,5.462345856,1032,0.91925472,0.594754714,1
0,0,0,38,0,0,1
0.00969315,0.035874439,1.05816028,8918,0.121267813,0.046971139,1
0.009035758,0.040983607,0.758308945,3900,0.098058068,0.035511041,1
0.009579517,0.022988506,0.61336258,6960,0.115470054,0.04794633,1
0.024303287,0.028358209,2.665167234,41118,0.23250615,0.066103214,1
0.000330251,0.00125,0.124755828,3188,0.072932496,0.017948954,1
0.003524046,0.002962963,0.309006316,8632,0.02990743,0.011156657,1
0.542231368,0.024334601,6.702982902,453140,0.131776696,0.033744095,1
0.089090233,0.07711803,26.0224456,2040846,0.308747558,0.122365941,1
0.040637683,0.026745914,2.643958003,22960,0.426042961,0.067183732,1
7.25E-06,0.004048583,0.084493733,4560,0.067419986,0.014940358,1
0.013570637,0.007722008,0.371730799,4374,0.032075015,0.030240614,1
0.006301777,0.00952381,0.425410929,1872,0.207019668,0.069560834,1
0.095274413,0.044813278,7.464871276,385140,0.113770784,0.082383727,1
0.012506751,0.006264237,1.569576108,441266,0.024921379,0.008257348,1
0.005526175,0.004878049,0.467265756,4277,0.18156826,0.046291005,1
0,0,0,35792,0,0,1
0,0,0,2142,0,0,1
0.03583083,0.018313395,14.38246746,1877524,0.269291986,0.088561382,1
0.124154937,0.060869565,5.284187516,92064,0.179592166,0.086598122,1
0.013876305,0.014124294,0.73492143,4830,0.124072917,0.050810979,1
0,0,0,9745,0,0,1
0.020509117,0.030645161,6.755990342,341882,0.268164794,0.097741114,1
0,0,0,441,0,0,1
0.007933269,0.008086253,1.796067531,817581,0.060780189,0.015527889,1
0,0,0,59,0,0,1
0.013480507,0.016759777,0.545506407,885,0.2,0.102899151,1
0.001300122,0.003011515,1.714253139,352737,0.133342562,0.027070666,1
0.034656309,0.039087948,1.791463175,10188,0.184052543,0.110755717,1
1.015326864,0.227848101,17.09811106,58734,0.443231902,0.339932214,1
0.153810582,0.056497175,3.705629861,25365,0.199920048,0.067226939,1
0.343405455,0.00439115,8.830968115,980313,0.149611125,0.067037363,1
1.384024617,0.410714286,7.854969569,1470,0.778980838,0.55381862,1
0.000749916,0.009375,1.205154688,222835,0.10087923,0.025420819,1
0.016633892,0.014669927,0.970332879,42000,0,0.02958682,1
0.008404448,0.022687609,1.639605273,20824,0.269952762,0.063658711,1
0.00158443,0.002487562,3.097671376,1190679,0.118632353,0.02512141,1
0.015022474,0.004458599,1.05134387,46410,0.051754917,0.028005602,1
0.035144467,0.01875,3.3201604,277648,0.046260615,0.026675937,1
6.082123991,0.136129905,100.9944096,3624345,0.433552165,0.174823539,1
0.382219165,0.229508197,6.134340031,5141,0.442711002,0.285795305,1
0.0004995,0.076923077,0.131546027,24,0.316227766,0,1
0.006849315,0.000411523,0.200657892,4858,0.025837119,0.016183857,1
0.138962257,0.00627451,1.676118491,86052,0.063794729,0.244948974,1
0,0,0,45,0,0,1
0.000835021,0.008928571,0.311605837,19610,0.060708349,0,1
0.021711671,0.009628611,1.177086895,32928,0.109082976,0.064011153,1
0,0,0,3102,0,0,1
0.0004995,0.004504505,0.131546027,9240,0.019262853,0,1
0.014595431,0.013636364,2.136105015,269800,0.022338353,0.024676944,1
0,0,0,16,0,0,1
0.359904562,0.02173913,2.260386555,33900,0.045834925,0.020425184,1
0,0,0,405,0,0,1
0.000252368,0.014705882,1.349530214,102564,0.165506064,0.046913729,1
0.034101487,0.001093793,2.529334338,642400,0.04156257,0.04156257,1
0.05424896,0.1,0.738796647,162,0.433012702,0.23570226,1
0.079853426,0.077464789,2.199511827,5580,0.22453656,0.14969104,1
0,0,0,12265,0,0,1
0.002478248,0.007843137,0.298290902,5382,0.060192927,0.043478261,1
0.18959965,0.026666667,1.498835679,11270,0.038159323,0.016041634,1
0.000643915,0.007462687,0.136092494,396,0.11785113,0.052270837,1
0.068691229,0.106122449,4.111936289,15810,0.1940285,0.106066017,1
0.005919208,0.033898305,0.342775934,690,0.110096377,0.04794633,1
0.13651431,0.014914773,6.475059048,964597,0.073788216,0.043262841,1
0.027853377,0.068965517,1.512803011,5950,0.124741715,0.12412428,1
0.00717127,0.011494253,0.834223198,46895,0.043643578,0.025367314,1
0.796770295,0.42,10.01746193,5016,0.527644853,0.501280412,1
0,0,0,262,0,0,1
0.038876743,0.018461538,1.758966521,15312,0.143345545,0.033786869,1
0.069738489,0.096491228,5.100538522,25454,0.320486013,0.119867017,1
0,0,0,199,0,0,1
0,0,0,679,0,0,1
0.554360292,0.04810249,29.42274327,4537008,0.220228934,0.07753304,1
0.004312546,0.003436426,0.325737717,3468,0.090721842,0.035533453,1
0.010503589,0.027505447,10.38238463,2129662,0.288488706,0.065858169,1
0.003624774,0.018518519,0.911151707,10764,0.181164325,0.050977962,1
0.020709121,0.002682164,0.974717505,116070,0.01588525,0.015922759,1
0,0,0,408,0,0,1
0.283322217,0.041242363,21.9007646,3262344,0.286003978,0.099194315,1
1.111216537,0.197440585,20.19316256,106750,0.445998078,0.150348433,1
0.075856955,0.028485757,3.317778797,20305,0.16159725,0.10215886,1
0.222256377,0.107246377,6.782308885,36381,0.293277863,0.128984843,1
0.000399831,0.001762891,0.759835407,76993,0.144220248,0.028908005,1
0.428958536,0.02962963,12.29634249,990437,0.217840023,0.076844419,1
0,0,0,592,0,0,1
0.283857382,0.075367647,7.835773255,60116,0.236282095,0.16502459,1
0.01102395,0.035714286,0.384049354,165,0.384900179,0.080845208,1
0.622097647,0.022786458,7.655350174,309540,0.022043336,0.040316609,1
0.005025126,0.001644737,0.188917894,1818,0.024507154,0,1
3.888385723,0.051271807,78.12607816,11598784,0.185870676,0.058019018,1
0,0,0,10,0,0,1
1.72E-05,0.000269179,0.171469375,44556,0.024354051,0.00974162,1
0.420051837,0.116700201,10.64462012,76664,0.329261789,0.189679087,1
0.079868154,0.166666667,3.052908076,2610,0.457921883,0.298210026,1
0.002502366,0.007692308,0.29909532,2761,0.072074997,0.041711952,1
0.004442477,0.007352941,0.97822205,234255,0.019526186,0.016742778,1
0.018583304,0.039274924,1.680265406,24543,0.229039334,0.074419925,1
0,0,0,505,0,0,1
0.000635514,0.002194587,0.566542321,94675,0.140642169,0.016268014,1
0,0,0,1524,0,0,1
9.12E-05,0.005988024,0.107498404,3692,0.056613852,0,1
0.200056596,0.037634409,4.828591689,58996,0.123413299,0.088436896,1
0.032407855,0.033722438,3.647044316,41496,0.125820509,0.050111483,1
0,0,0,804,0,0,1
0,0,0,5025,0,0,1
0.009023364,0.010752688,0.602561716,21655,0,0.015297066,1
1.57E-05,0.004385965,0.09040609,1554,0,0.025540472,1
1.132408796,0.038935756,13.33417135,357244,0.224478343,0.0723168,1
0.031482487,0.062068966,2.695980579,11395,0.335351981,0.121998856,1
0.188622019,0.00084717,1.363918577,500606,0.0325214,0.010059527,1
0.075274117,0.010865693,8.307811152,682896,0.182070634,0.063799108,1
